구,학교급,학교수,학급수,학생수,교원수,학급당_학생수,교원1인당_학생수
남동구,초등학교,39,1038,21727,1532,20.93159922928709,14.182114882506527
미추홀구,초등학교,23,738,15490,1078,20.989159891598916,14.369202226345083
연수구,초등학교,34,1166,25288,1675,21.687821612349914,15.09731343283582
남동구,중학교,22,524,14166,1037,27.03435114503817,13.660559305689489
미추홀구,중학교,12,300,7883,579,26.276666666666667,13.614853195164075
연수구,중학교,20,502,14407,984,28.699203187250998,14.641260162601625
